Data,Kontrakt,Kurs pierwszej transakcji (PLN/MWh),DKR (PLN/MWh),Kurs min. na sesji (PLN/MWh),Kurs maks. na sesji (PLN/MWh),Łączny wolumen obrotu (MWh),Liczba kontraktów,Łączna wartość obrotu (PLN),Liczba transakcji,Łączna liczba otwartych pozycji LOP (MWh)
2025-11-21,BASE_W-48-25,0,"560,00","550,00","563,00",16 968,101,"9 434 880,00",28,24 024
2025-11-21,BASE_W-49-25,0,"522,00",0,0,0,0,"0,00",0,0
2025-11-21,BASE_W-50-25,0,"481,16",0,0,0,0,"0,00",0,0
2025-11-21,BASE_W-51-25,0,"481,16",0,0,0,0,"0,00",0,0
2025-11-21,BASE_W-52-25,0,"406,89",0,0,0,0,"0,00",0,0
2025-11-21,BASE_M-12-25,0,"468,60","468,50","472,00",24 552,33,"11 530 660,80",26,363 072
2025-11-21,BASE_M-01-26,0,"481,50","481,50","481,50",744,1,"358 236,00",1,78 864
2025-11-21,BASE_M-02-26,0,"475,00",0,0,0,0,"0,00",0,8064
2025-11-21,BASE_M-03-26,0,"426,39",0,0,0,0,"0,00",0,11 145
2025-11-21,BASE_M-04-26,0,"389,00",0,0,0,0,"0,00",0,1440
2025-11-21,BASE_M-05-26,0,"404,68",0,0,0,0,"0,00",0,0
2025-11-21,BASE_Q-1-26,0,"460,51","458,50","460,20",53 975,25,"24 809 954,19",21,2 677 160
2025-11-21,BASE_Q-2-26,0,"417,97","418,00","419,00",15 288,7,"6 399 120,00",6,452 088
2025-11-21,BASE_Q-3-26,0,"456,41","456,00","456,50",11 040,5,"5 035 344,00",5,337 824
2025-11-21,BASE_Q-4-26,0,"472,53","471,99","472,99",30 926,14,"14 602 992,12",14,521 324
2025-11-21,BASE_Q-1-27,0,"461,42",0,0,0,0,"0,00",0,0
2025-11-21,BASE_Q-2-27,0,"427,17",0,0,0,0,"0,00",0,0
2025-11-21,BASE_Y-26,0,"451,90","451,50","452,50",131 400,15,"59 432 220,00",15,11 344 200
2025-11-21,BASE_Y-27,0,"448,90","448,50","449,00",43 800,5,"19 661 820,00",5,4 572 720
2025-11-21,BASE_Y-28,0,"456,00",0,0,0,0,"0,00",0,878 400
2025-11-21,BASE_Y-29,0,"450,98",0,0,0,0,"0,00",0,0
2025-11-24,BASE_W-49-25,0,"528,21",0,0,0,0,"0,00",0,0
2025-11-24,BASE_W-50-25,0,"462,21",0,0,0,0,"0,00",0,0
2025-11-24,BASE_W-51-25,0,"466,44",0,0,0,0,"0,00",0,0
2025-11-24,BASE_W-52-25,0,"394,44",0,0,0,0,"0,00",0,0
2025-11-24,BASE_W-01-26,0,"454,37",0,0,0,0,"0,00",0,0
2025-11-24,BASE_M-12-25,0,"466,00","464,00","470,00",34 224,46,"15 977 400,00",39,366 792
2025-11-24,BASE_M-01-26,0,"480,33","480,00","481,00",4464,6,"2 143 464,00",5,81 096
2025-11-24,BASE_M-02-26,0,"470,60","470,00","471,00",6720,10,"3 163 104,00",9,14 784
2025-11-24,BASE_M-03-26,0,"419,77",0,0,0,0,"0,00",0,11 145
2025-11-24,BASE_M-04-26,0,"406,00",0,0,0,0,"0,00",0,1440
2025-11-24,BASE_M-05-26,0,"400,32",0,0,0,0,"0,00",0,0
2025-11-24,BASE_Q-1-26,0,"456,46","453,00","456,25",79 883,37,"36 346 225,25",28,2 726 817
2025-11-24,BASE_Q-2-26,0,"413,00","413,00","414,00",24 024,11,"9 935 016,00",9,467 376
2025-11-24,BASE_Q-3-26,0,"453,00","452,90","454,00",6624,3,"3 004 867,20",3,342 240
2025-11-24,BASE_Q-4-26,0,"468,94","468,50","470,00",26 508,12,"12 444 401,50",10,543 414
2025-11-24,BASE_Q-1-27,0,"459,43",0,0,0,0,"0,00",0,0
2025-11-24,BASE_Q-2-27,0,"425,32",0,0,0,0,"0,00",0,0
2025-11-24,BASE_Y-26,0,"447,90","447,50","452,90",175 200,20,"78 591 216,00",20,11 300 400
2025-11-24,BASE_Y-27,0,"447,00","447,00","449,00",61 320,7,"27 445 080,00",7,4 590 240
2025-11-24,BASE_Y-28,0,"452,25",0,0,0,0,"0,00",0,878 400
2025-11-24,BASE_Y-29,0,"447,59",0,0,0,0,"0,00",0,0
2025-11-25,BASE_W-49-25,0,"516,23",0,0,0,0,"0,00",0,0
2025-11-25,BASE_W-50-25,0,"477,38",0,0,0,0,"0,00",0,0
2025-11-25,BASE_W-51-25,0,"477,38",0,0,0,0,"0,00",0,0
2025-11-25,BASE_W-52-25,0,"403,69",0,0,0,0,"0,00",0,0
2025-11-25,BASE_W-01-26,0,"461,19",0,0,0,0,"0,00",0,0
2025-11-25,BASE_M-12-25,0,"472,00","467,00","474,00",41 664,56,"19 607 004,00",45,374 232
2025-11-25,BASE_M-01-26,0,"482,50","482,00","483,00",2232,3,"1 077 312,00",3,79 608
2025-11-25,BASE_M-02-26,0,"473,48",0,0,0,0,"0,00",0,14 784
2025-11-25,BASE_M-03-26,0,"424,12",0,0,0,0,"0,00",0,11 145
2025-11-25,BASE_M-04-26,0,"385,50",0,0,0,0,"0,00",0,1440
2025-11-25,BASE_M-05-26,0,"403,23",0,0,0,0,"0,00",0,0
2025-11-25,BASE_Q-1-26,0,"459,60","459,50","460,25",53 975,25,"24 824 333,13",22,2 750 566
2025-11-25,BASE_Q-2-26,0,"415,56","415,50","417,00",10 920,5,"4 541 628,00",4,473 928
2025-11-25,BASE_Q-3-26,0,"452,71","454,00","454,00",4416,2,"2 004 864,00",2,346 656
2025-11-25,BASE_Q-4-26,0,"471,56","471,50","473,00",22 090,10,"10 435 316,00",10,565 504
2025-11-25,BASE_Q-1-27,0,"460,72",0,0,0,0,"0,00",0,0
2025-11-25,BASE_Q-2-27,0,"426,56",0,0,0,0,"0,00",0,0
2025-11-25,BASE_Y-26,0,"449,90","449,50","451,25",175 200,20,"78 953 442,00",19,11 274 120
2025-11-25,BASE_Y-27,0,"448,30","448,00","448,50",87 600,10,"39 279 840,00",10,4 634 040
2025-11-25,BASE_Y-28,0,"452,00","452,00","452,00",8784,1,"3 970 368,00",1,878 400
2025-11-25,BASE_Y-29,0,"448,39",0,0,0,0,"0,00",0,0
2025-11-26,BASE_W-49-25,0,"522,50",0,0,0,0,"0,00",0,0
2025-11-26,BASE_W-50-25,0,"488,95",0,0,0,0,"0,00",0,0
2025-11-26,BASE_W-51-25,0,"488,95",0,0,0,0,"0,00",0,0
2025-11-26,BASE_W-52-25,0,"413,47",0,0,0,0,"0,00",0,0
2025-11-26,BASE_W-01-26,0,"456,95",0,0,0,0,"0,00",0,0
2025-11-26,BASE_M-12-25,0,"480,40","475,00","482,00",57 288,77,"27 489 907,20",62,403 992
2025-11-26,BASE_M-01-26,0,"485,34","481,50","485,00",8928,12,"4 317 432,00",12,81 096
2025-11-26,BASE_M-02-26,0,"472,00","471,00","476,00",7392,11,"3 507 907,20",11,22 176
2025-11-26,BASE_M-03-26,0,"432,00",0,0,0,0,"0,00",0,11 145
2025-11-26,BASE_M-04-26,0,"372,50",0,0,0,0,"0,00",0,1440
2025-11-26,BASE_M-05-26,0,"402,99",0,0,0,0,"0,00",0,0
2025-11-26,BASE_Q-1-26,0,"462,83","461,00","462,50",56 134,26,"25 923 328,90",19,2 778 633
2025-11-26,BASE_Q-2-26,0,"416,05","415,00","416,50",19 656,9,"8 177 988,00",8,493 584
2025-11-26,BASE_Q-3-26,0,"450,82","450,50","452,75",22 080,10,"9 974 640,00",10,340 032
2025-11-26,BASE_Q-4-26,0,"473,34","472,50","474,00",57 434,26,"27 162 968,50",22,620 729
2025-11-26,BASE_Q-1-27,0,"461,44",0,0,0,0,"0,00",0,0
2025-11-26,BASE_Q-2-27,0,"427,22",0,0,0,0,"0,00",0,0
2025-11-26,BASE_Y-26,0,"450,79","450,50","452,00",140 160,16,"63 241 418,40",14,11 361 720
2025-11-26,BASE_Y-27,0,"449,00","449,00","449,00",26 280,3,"11 799 720,00",3,4 651 560
2025-11-26,BASE_Y-28,0,"453,05","453,00","453,10",17 568,2,"7 959 182,40",2,887 184
2025-11-26,BASE_Y-29,0,"449,17",0,0,0,0,"0,00",0,0
2025-11-27,BASE_W-49-25,0,"482,79",0,0,0,0,"0,00",0,0
2025-11-27,BASE_W-50-25,0,"520,41",0,0,0,0,"0,00",0,0
2025-11-27,BASE_W-51-25,0,"500,00",0,0,0,0,"0,00",0,0
2025-11-27,BASE_W-52-25,0,"405,67",0,0,0,0,"0,00",0,0
2025-11-27,BASE_W-01-26,0,"456,26",0,0,0,0,"0,00",0,0
2025-11-27,BASE_M-12-25,0,"479,20","478,00","480,00",44 640,60,"21 405 393,36",54,426 312
2025-11-27,BASE_M-01-26,0,"485,78","484,00","485,50",1488,2,"721 308,00",2,80 352
2025-11-27,BASE_M-02-26,0,"475,44","472,00","475,25",8064,12,"3 827 208,00",7,30 240
2025-11-27,BASE_M-03-26,0,"430,00",0,0,0,0,"0,00",0,11 145
2025-11-27,BASE_M-04-26,0,"410,00",0,0,0,0,"0,00",0,1440
2025-11-27,BASE_M-05-26,0,"401,00",0,0,0,0,"0,00",0,0
2025-11-27,BASE_Q-1-26,0,"463,37","459,00","463,00",53 975,25,"24 877 077,50",23,2 776 474
2025-11-27,BASE_Q-2-26,0,"414,01","413,00","414,50",15 288,7,"6 325 956,00",6,502 320
2025-11-27,BASE_Q-3-26,0,"450,00",0,0,0,0,"0,00",0,340 032
2025-11-27,BASE_Q-4-26,0,"473,00","473,00","473,00",44 180,20,"20 897 140,00",16,664 909
2025-11-27,BASE_Q-1-27,0,"461,44",0,0,0,0,"0,00",0,0
2025-11-27,BASE_Q-2-27,0,"427,18",0,0,0,0,"0,00",0,0
2025-11-27,BASE_Y-26,0,"450,12","450,00","450,50",78 840,9,"35 492 103,60",9,11 396 760
2025-11-27,BASE_Y-27,0,"449,00","449,00","449,00",35 040,4,"15 732 960,00",4,4 677 840
2025-11-27,BASE_Y-28,0,"450,23",0,0,0,0,"0,00",0,887 184
2025-11-27,BASE_Y-29,0,"447,89",0,0,0,0,"0,00",0,0
